epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,1865.27,0.52497,0.89265,0.84074,0.89395,0.82942,0.86509,0.90009,0.76959,0.82955,0.8651,0.89953,0.71092,0.5245,0.92584,0.64722,0.86284,2.0601e-05,2.0601e-05,2.0601e-05
92,1884.56,0.49219,0.83214,0.7327,0.879,0.856,0.84542,0.90684,0.77483,0.85488,0.84521,0.90545,0.71801,0.52434,0.9099,0.63768,0.86377,1.87299e-05,1.87299e-05,1.87299e-05
93,1903.74,0.47865,0.81926,0.69947,0.87338,0.85835,0.85427,0.90871,0.77833,0.85789,0.85379,0.90782,0.71847,0.52086,0.91081,0.62238,0.86402,1.68588e-05,1.68588e-05,1.68588e-05
94,1923.07,0.47264,0.80278,0.69808,0.87283,0.87632,0.84944,0.91221,0.78607,0.87601,0.84913,0.91192,0.72851,0.51722,0.8959,0.61503,0.8633,1.49877e-05,1.49877e-05,1.49877e-05
95,1942.48,0.46567,0.7971,0.68226,0.86937,0.87506,0.85925,0.90944,0.7827,0.87457,0.85878,0.90843,0.72509,0.51348,0.89783,0.61309,0.86094,1.31166e-05,1.31166e-05,1.31166e-05
96,1961.65,0.45621,0.78228,0.6713,0.86433,0.89977,0.83308,0.91207,0.78636,0.89928,0.8326,0.91152,0.72887,0.51151,0.89493,0.60946,0.8604,1.12455e-05,1.12455e-05,1.12455e-05
97,1980.89,0.45699,0.79192,0.67025,0.86655,0.90189,0.83192,0.91334,0.78855,0.90138,0.83144,0.91274,0.7306,0.50766,0.89043,0.60516,0.85817,9.3744e-06,9.3744e-06,9.3744e-06
98,1999.98,0.45567,0.77823,0.66404,0.86237,0.88937,0.84462,0.91255,0.78751,0.88887,0.84415,0.91186,0.73144,0.50976,0.89148,0.61056,0.85797,7.5033e-06,7.5033e-06,7.5033e-06
99,2019.14,0.46023,0.78171,0.67282,0.86606,0.86124,0.8717,0.91222,0.7893,0.86033,0.87075,0.91096,0.73129,0.50708,0.89254,0.60663,0.85669,5.6322e-06,5.6322e-06,5.6322e-06
100,2038.46,0.46162,0.79551,0.66954,0.86035,0.86748,0.8717,0.91243,0.78968,0.86702,0.87123,0.91165,0.73102,0.50711,0.89167,0.60702,0.85677,3.7611e-06,3.7611e-06,3.7611e-06
