epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1054.65,0.59148,0.96223,0.84544,0.90656,0.8432,0.81588,0.87495,0.75087,0.84523,0.81798,0.87432,0.69619,0.53508,0.90118,0.66013,0.85924,8.55552e-05,8.55552e-05,8.55552e-05
58,1072.74,0.5704,0.94933,0.83494,0.91058,0.86086,0.8223,0.88253,0.75853,0.86243,0.8239,0.88079,0.70656,0.53825,0.88744,0.65627,0.86012,8.36544e-05,8.36544e-05,8.36544e-05
59,1091.28,0.58097,0.94261,0.8529,0.90272,0.85832,0.81416,0.87759,0.75339,0.86119,0.81649,0.87745,0.6951,0.53325,0.89334,0.66318,0.86166,8.17536e-05,8.17536e-05,8.17536e-05
60,1109.92,0.57086,0.93891,0.82864,0.90254,0.84466,0.845,0.88656,0.76154,0.84704,0.84728,0.88721,0.70067,0.52977,0.89425,0.64896,0.86034,7.98528e-05,7.98528e-05,7.98528e-05
61,1128.44,0.56939,0.9313,0.82418,0.90746,0.84455,0.82713,0.88153,0.75558,0.85273,0.82652,0.88179,0.69597,0.5232,0.89378,0.64926,0.85425,7.7952e-05,7.7952e-05,7.7952e-05
62,1146.96,0.57455,0.92456,0.82948,0.90395,0.81528,0.86206,0.8927,0.76536,0.81907,0.86546,0.89449,0.70938,0.53704,0.8802,0.64471,0.86306,7.60512e-05,7.60512e-05,7.60512e-05
63,1165.15,0.56047,0.92843,0.79583,0.89613,0.84057,0.84483,0.88648,0.76191,0.84314,0.84529,0.88616,0.70313,0.5295,0.89622,0.64213,0.85814,7.41504e-05,7.41504e-05,7.41504e-05
64,1184.16,0.56413,0.91801,0.80551,0.90166,0.83607,0.85151,0.891,0.76595,0.84035,0.85322,0.89171,0.70574,0.52441,0.88981,0.64499,0.85551,7.22496e-05,7.22496e-05,7.22496e-05
65,1202.45,0.55767,0.91997,0.79237,0.89519,0.83939,0.85829,0.89222,0.76714,0.84169,0.85951,0.89287,0.70631,0.53051,0.8856,0.64505,0.85643,7.03488e-05,7.03488e-05,7.03488e-05
66,1221.14,0.5672,0.93618,0.80123,0.89671,0.84604,0.84766,0.89266,0.77112,0.84766,0.84928,0.89172,0.70642,0.52129,0.88346,0.63847,0.84949,6.8448e-05,6.8448e-05,6.8448e-05
67,1239.83,0.53994,0.89576,0.77765,0.89693,0.88374,0.82758,0.89572,0.77351,0.88584,0.82958,0.89465,0.71826,0.51792,0.88126,0.62308,0.85125,6.65472e-05,6.65472e-05,6.65472e-05
68,1258.64,0.5556,0.92456,0.78394,0.89763,0.84359,0.85202,0.89417,0.76846,0.8456,0.85412,0.89406,0.70933,0.52319,0.87864,0.64186,0.85518,6.46464e-05,6.46464e-05,6.46464e-05
69,1277.16,0.55618,0.92349,0.77808,0.89235,0.87439,0.82317,0.89664,0.77601,0.87666,0.82497,0.89744,0.71628,0.51821,0.88047,0.62953,0.85279,6.27456e-05,6.27456e-05,6.27456e-05
70,1295.84,0.55482,0.94021,0.78302,0.89691,0.86891,0.84417,0.89466,0.77026,0.86859,0.84329,0.89261,0.70573,0.52733,0.89855,0.63601,0.85897,6.08448e-05,6.08448e-05,6.08448e-05
71,1314.34,0.55682,0.91765,0.77665,0.89442,0.8475,0.85095,0.89839,0.77796,0.84927,0.84927,0.89667,0.71595,0.51588,0.89073,0.63066,0.85115,5.8944e-05,5.8944e-05,5.8944e-05
72,1332.8,0.5477,0.91917,0.7577,0.8934,0.87709,0.83069,0.89598,0.77742,0.87518,0.82826,0.8937,0.70889,0.51171,0.8856,0.63047,0.84992,5.70432e-05,5.70432e-05,5.70432e-05
73,1351.24,0.52942,0.8902,0.75996,0.89106,0.85373,0.85937,0.90034,0.78037,0.85518,0.86035,0.8984,0.71847,0.50831,0.89185,0.6216,0.85034,5.51424e-05,5.51424e-05,5.51424e-05
74,1369.68,0.54651,0.90457,0.76337,0.89676,0.85281,0.86053,0.89767,0.7806,0.85399,0.8617,0.89722,0.7194,0.50371,0.88008,0.61412,0.84738,5.32416e-05,5.32416e-05,5.32416e-05
75,1388.27,0.54476,0.91753,0.77465,0.89516,0.8477,0.8736,0.89558,0.77515,0.84767,0.87361,0.89415,0.7147,0.51231,0.87811,0.61052,0.85491,5.13408e-05,5.13408e-05,5.13408e-05
76,1406.91,0.53817,0.88405,0.74074,0.88914,0.83618,0.86931,0.8934,0.77814,0.83738,0.87071,0.89298,0.71363,0.50284,0.87509,0.61848,0.85023,4.944e-05,4.944e-05,4.944e-05
77,1426.08,0.54353,0.89619,0.75344,0.89451,0.8576,0.87043,0.90025,0.7822,0.85758,0.87044,0.89915,0.72183,0.50504,0.87282,0.60881,0.84878,4.75392e-05,4.75392e-05,4.75392e-05
78,1444.84,0.53571,0.89642,0.75163,0.88819,0.87184,0.85509,0.89779,0.77752,0.87135,0.85461,0.89696,0.71783,0.50476,0.86984,0.60604,0.84885,4.56384e-05,4.56384e-05,4.56384e-05
79,1463.53,0.53572,0.89315,0.73776,0.88802,0.8895,0.83595,0.90266,0.77916,0.88917,0.83617,0.90224,0.72101,0.5015,0.87571,0.60631,0.84669,4.37376e-05,4.37376e-05,4.37376e-05
80,1482.24,0.53929,0.9059,0.75565,0.889,0.86437,0.86092,0.89831,0.7803,0.8656,0.86209,0.89892,0.71801,0.50054,0.87072,0.61168,0.84587,4.18368e-05,4.18368e-05,4.18368e-05
81,1500.95,0.53079,0.89626,0.74595,0.88909,0.85004,0.86312,0.89706,0.77847,0.85055,0.86274,0.89649,0.71921,0.50391,0.86495,0.60686,0.84764,3.9936e-05,3.9936e-05,3.9936e-05
82,1519.57,0.52578,0.88555,0.71999,0.88511,0.85123,0.87826,0.89907,0.78163,0.8519,0.87895,0.89907,0.71735,0.50679,0.8835,0.59884,0.84985,3.80352e-05,3.80352e-05,3.80352e-05
83,1538.46,0.53271,0.8849,0.74016,0.88734,0.86203,0.87414,0.89686,0.78109,0.86272,0.87482,0.89717,0.72389,0.50186,0.86619,0.60311,0.84591,3.61344e-05,3.61344e-05,3.61344e-05
84,1557.08,0.52113,0.87445,0.72223,0.88831,0.85607,0.8802,0.90103,0.78449,0.85692,0.88039,0.90154,0.72348,0.5012,0.86075,0.60215,0.84437,3.42336e-05,3.42336e-05,3.42336e-05
85,1575.85,0.54492,0.91171,0.73383,0.89066,0.84444,0.88028,0.89697,0.78155,0.84507,0.88098,0.89759,0.71506,0.4988,0.87293,0.60128,0.84335,3.23328e-05,3.23328e-05,3.23328e-05
86,1594.26,0.51689,0.87525,0.72208,0.8868,0.85544,0.86665,0.89871,0.7831,0.8551,0.86808,0.8993,0.7155,0.50348,0.88226,0.59751,0.84795,3.0432e-05,3.0432e-05,3.0432e-05
87,1612.62,0.52791,0.88349,0.73566,0.88738,0.8619,0.87243,0.90288,0.78406,0.86159,0.87259,0.90259,0.71821,0.50376,0.86285,0.59753,0.84741,2.85312e-05,2.85312e-05,2.85312e-05
88,1630.65,0.52177,0.88797,0.71506,0.88994,0.8588,0.86908,0.90249,0.78654,0.85963,0.86911,0.90203,0.71699,0.50178,0.86344,0.59584,0.8464,2.66304e-05,2.66304e-05,2.66304e-05
89,1649.03,0.51383,0.86291,0.70994,0.88487,0.85248,0.88447,0.9019,0.78696,0.85332,0.88485,0.90238,0.71871,0.5003,0.86847,0.59829,0.84694,2.47296e-05,2.47296e-05,2.47296e-05
90,1667.69,0.51739,0.87794,0.7277,0.88527,0.86502,0.87491,0.9028,0.78814,0.86554,0.8749,0.90298,0.7217,0.49422,0.86017,0.59793,0.84244,2.28288e-05,2.28288e-05,2.28288e-05
91,1710.7,0.52224,0.88484,0.83052,0.88725,0.85939,0.8314,0.8821,0.75849,0.861,0.83117,0.88332,0.69597,0.51436,0.91508,0.64457,0.85208,2.0928e-05,2.0928e-05,2.0928e-05
92,1728.03,0.49011,0.83021,0.72518,0.86961,0.84574,0.84902,0.88488,0.76159,0.84649,0.84971,0.88524,0.69648,0.51211,0.90135,0.63987,0.85272,1.90272e-05,1.90272e-05,1.90272e-05
93,1745.49,0.47784,0.81543,0.70294,0.87031,0.84648,0.86014,0.88785,0.7674,0.84719,0.86082,0.88878,0.70068,0.50502,0.89438,0.62389,0.85061,1.71264e-05,1.71264e-05,1.71264e-05
94,1762.86,0.46684,0.79766,0.69034,0.867,0.85115,0.86329,0.89275,0.77379,0.85124,0.8633,0.89274,0.70781,0.49911,0.88251,0.61342,0.8472,1.52256e-05,1.52256e-05,1.52256e-05
95,1780.38,0.46223,0.78979,0.68499,0.86106,0.84656,0.86483,0.89604,0.7775,0.84656,0.86483,0.89626,0.71325,0.50072,0.88307,0.60866,0.84641,1.33248e-05,1.33248e-05,1.33248e-05
96,1797.71,0.45358,0.77767,0.66624,0.85753,0.86099,0.8628,0.90277,0.78221,0.8604,0.86317,0.90268,0.71596,0.50061,0.88363,0.60371,0.84533,1.1424e-05,1.1424e-05,1.1424e-05
97,1814.97,0.45529,0.78752,0.66555,0.86185,0.86839,0.8687,0.90042,0.7807,0.86857,0.86843,0.9002,0.71543,0.49785,0.8799,0.59428,0.84505,9.5232e-06,9.5232e-06,9.5232e-06
98,1832.36,0.44929,0.76869,0.66018,0.85434,0.86313,0.86603,0.90062,0.78293,0.86339,0.86558,0.90041,0.71478,0.4961,0.8794,0.59792,0.8427,7.6224e-06,7.6224e-06,7.6224e-06
99,1849.79,0.45674,0.77617,0.66452,0.85962,0.86547,0.86859,0.90294,0.78361,0.86586,0.86822,0.90283,0.71867,0.49331,0.87759,0.59553,0.84217,5.7216e-06,5.7216e-06,5.7216e-06
100,1867.54,0.45917,0.78671,0.66389,0.85305,0.86676,0.86599,0.90192,0.7834,0.86688,0.86518,0.90154,0.71739,0.49341,0.87916,0.5947,0.84234,3.8208e-06,3.8208e-06,3.8208e-06
